tx_amount,time_since_last_tx_seconds,degree_centrality,historical_tx_count,in_out_ratio,sent_tnx,received_tnx,time_diff_mins,is_fraud
3.8951,50655.6,158,810,0.6775,721,89,704785.63,0
0.2093,762544.2,19,102,0.9994,94,8,1218216.73,0
1.0766,10000000.0,12,12,1.0001,2,10,516729.3,0
84.7453,613176.0,20,34,0.5116,25,9,397555.9,0
1.3469,2196.6,26,4619,0.5121,4598,20,382472.42,0
4.0434,594007.2,3,5,1.0001,2,3,20926.68,0
0.7903,4167.6,29,36,1.0014,25,11,8660.35,0
0.466,89843.4,6,218,0.5119,213,5,319828.05,0
1.9997,0.0,2,2,1.0003,1,1,496.62,0
17.6673,154235.4,6,11,0.3361,8,3,30572.7,0
1.0044,1947.0,3,20,1.0008,10,10,129540.15,0
53.6781,222984.6,7,254,1.0,8,246,385961.98,0
0.3846,0.0,4,17,12.3067,0,16,198900.25,0
0.1088,571242.0,6,9,1.3697,7,2,78197.58,0
89.7187,846399.6,32,56,0.5654,32,24,540061.9,0
0.2874,45474.6,16,38,1.0576,34,3,25802.32,0
0.2038,187.8,4,114,1.0021,57,57,280803.43,0
13.2306,1660887.0,21,37,0.7081,26,11,842599.05,0
11.5694,46217.4,4,5,1.0,3,2,2318.5,0
50.4997,9826.8,4,4,1.0,2,2,329.78,0
2.8312,0.0,5,19,101.9236,0,18,113840.02,0
15.4245,43546.2,7,14,0.3746,7,7,292841.02,0
1.9685,5468.4,9,9,1.0003,5,4,712.88,0
0.8026,148640.4,3,134,4.2748,8,126,892782.2,0
2.4301,0.0,6,18,82.6237,0,17,226778.27,0
4.9984,0.0,2,2,1.0003,1,1,30.65,0
6.2135,107845.2,10,85,0.5614,82,3,330187.83,0
0.547,0.0,2,2,1.0023,1,1,68.87,0
1.8086,9313.2,6,7,0.5389,4,3,338429.65,0
105.516,877575.6,41,73,0.9258,59,14,955278.0,0
0.2524,0.0,4,54,26.7594,0,53,291427.53,0
5.3663,199.8,9,21,1.0001,10,11,561789.58,0
0.874,67713.6,3,3,1.748,2,1,2257.12,0
0.043,129177.0,7,12,1.3546,10,2,22889.93,0
0.8094,0.0,4,695,1000.0,0,694,449889.15,0
56.2343,2754.6,3549,8959,0.9872,5970,2989,450106.65,0
0.0015,0.0,2,2,0.003,1,1,4.87,0
34.4896,64070.4,5,4443,1.0,68,4375,636162.82,0
2.5398,63112.2,5,7,0.5053,3,4,345142.02,0
5.5,127.2,5,10003,44.0,9996,4,21206.93,0
12.6115,1046462.4,6,12,1.017,9,3,160707.1,0
21.1263,2733685.2,12,21,0.6637,13,8,802574.4,0
2.6945,22786.8,7,9,0.3951,3,6,339687.12,0
6.0556,88683.0,14,39,0.7723,33,6,355017.02,0
75.7497,9853.2,3,3,1.0,2,1,328.45,0
2.6152,107426.4,7,12,1.0002,6,6,13445.97,0
4.6445,48237.0,4,5,0.5032,2,3,340383.53,0
1.2165,1118966.4,9,15,0.8017,11,4,266825.07,0
17.0063,3951.0,2676,4024,0.9997,2217,1807,204236.48,0
61.3008,10902.0,12,17,0.4416,12,5,286279.03,0
134.1327,1401583.2,29,48,0.7903,35,13,1169229.5,0
11.3445,1249675.8,3,9,0.0985,8,1,186707.1,0
3.648,250990.8,160,321,0.9427,181,140,962956.75,0
16.2844,118167.6,17,58,0.7956,48,10,97419.95,0
32.613,4579.2,5000,10002,0.9747,3424,6576,754216.92,0
1.0474,1560.6,6,12,1.0004,6,6,652.87,0
0.1468,490479.6,2,6,1.0031,3,3,24534.25,0
2.4029,37708.8,6,7,1.0008,5,2,4486.98,0
0.8543,0.0,2,2,1.0012,1,1,2.5,0
0.1348,0.0,2,2,1.0031,1,1,8873.97,0
0.0492,1376.4,2,34,1.0719,17,17,242427.3,0
3.5789,465001.2,7,15,6.9303,7,8,531093.05,0
44.0164,37264.2,19,35,1.0001,14,17,93911.63,0
0.3459,794586.0,11,17,0.5717,9,8,414518.23,0
3.4706,348942.0,31,1054,1.2489,30,1024,1040169.4,0
6.7086,114307.8,12,130,0.9543,124,6,240610.1,0
5.2813,1477.8,4,6,1.0001,3,3,10032.05,0
0.1946,3573.6,4,9,1.0056,4,5,120621.38,0
11.9998,0.0,2,2,1.0,1,1,28803.42,0
11.651,3408891.6,5,5,0.5012,3,2,294616.95,0
750.3748,133.8,6,6,1.0,4,2,8.92,0
2.2058,3148.8,14,52,1.0002,24,28,9299.17,0
13.3448,87983.4,7,13,0.8099,6,7,321695.25,0
12.5597,1554304.2,3,11,1.0001,6,5,161076.67,0
5.7251,230091.0,81,174,0.9661,121,53,620113.1,0
3.2323,232831.2,17,33,1.0005,21,12,101238.1,0
5.7957,1288010.4,16,32,0.5467,23,9,674198.88,0
1.5331,114253.8,20,25,0.9794,16,9,72065.0,0
36.9143,14916.6,81,1175,0.9897,1156,19,611682.27,0
7.2173,609254.4,51,112,0.7673,87,25,1009090.55,0
39.6012,40476.6,12,20,1.0012,16,4,11677.73,0
105.6254,211071.6,33,79,0.6696,49,30,381840.42,0
60.5997,1224.6,5,6,1.0,5,1,102.07,0
0.7011,0.0,5,34,46.2723,0,33,291444.58,0
0.0658,14686.8,7,69,1.584,61,8,16284.15,0
0.4484,0.0,2,2,1.0049,1,1,169.87,0
0.8673,0.0,2,2,1.0007,1,1,2250.73,0
0.255,24499.2,4,5,0.5475,3,2,341868.53,0
13.822,348079.2,34,125,0.9756,85,40,614761.98,0
833.7498,216.0,5,5,1.0,3,2,10.8,0
0.9984,0.0,2,2,1.0033,1,1,7.53,0
12.2871,820.2,8,34,1.0001,17,17,688942.0,0
0.2447,11580.0,3,5,0.9805,4,1,772.02,0
6.6154,1258873.8,9,14,1.001,11,3,596107.57,0
136.7769,7776.6,7,14,0.5026,3,11,288353.97,0
0.7322,0.0,2,2,1.0017,1,1,31.28,0
833.7498,352.8,5,5,1.0,3,2,18.47,0
67.3331,1299.0,4,4,1.0,3,1,64.95,0
0.92,1874359.2,6,10,1.1029,8,2,251884.43,0
1.9514,59839.2,6,8,0.506,4,4,342210.95,0
2.7229,541.2,60,93,1.0002,59,34,952.85,0
833.7498,217.2,5,5,1.0,3,2,10.87,0
67.3331,928.8,4,4,1.0,3,1,46.45,0
0.6297,3829152.6,7,10,0.4368,8,2,511227.0,0
50.4998,9700.2,4,4,1.0,2,2,323.42,0
750.3748,303.0,5,6,1.0,4,2,20.18,0
75.7498,9439.2,3,3,1.0,2,1,314.65,0
22.4997,2218.8,3,3,1.0,2,1,73.97,0
833.7498,192.6,5,5,1.0,3,2,10.38,0
42.0831,6514.8,5,5,1.0,3,2,327.37,0
0.475,0.0,3,99,93.1098,0,98,228977.53,0
366.7571,1584.0,7,380,1.0,163,217,138977.15,0
1.295,210058.2,5,61,1.9886,6,55,816620.55,0
9.1475,168589.8,44,125,0.9601,58,67,376480.78,0
2.2135,1147285.8,10,16,0.79,14,2,267722.13,0
0.5885,83774.4,140,793,1.0018,213,580,1150335.93,0
4.5149,1812012.6,9,10,1.0001,6,4,617468.87,0
0.46,0.0,5,160,146.2769,0,159,226766.85,0
2.7497,0.0,2,2,1.0002,1,1,10.93,0
42.0831,1468.2,5,5,1.0,3,2,73.42,0
1.1472,86997.0,7,629,1.0003,191,438,520700.2,0
0.3851,307.8,35,68,1.0012,34,34,127115.7,0
0.6693,0.0,5,14,17.4014,0,13,353915.25,0
42.0831,1491.6,5,5,1.0,3,2,75.03,0
67.3331,1252.2,4,4,1.0,3,1,62.6,0
10.545,360.0,5,15,1.0002,7,8,301482.83,0
75.7498,9309.6,3,3,1.0,2,1,310.32,0
67.3331,816.0,4,4,1.0,3,1,40.8,0
1.108,21850.2,724,1239,1.0007,682,557,376485.87,0
296.0997,118.2,3,4,1.0,2,2,2669.23,0
16.1333,491831.4,58,145,0.825,98,47,946931.97,0
4.9875,0.0,2,2,1.003,1,1,13.88,0
833.7497,118.2,5,5,1.0,3,2,5.9,0
50.4998,9663.6,4,4,1.0,2,2,323.38,0
5.8429,357.0,7,12,1.0003,6,6,743941.13,0
2.0287,5616726.0,4,82,1.0002,2,80,992074.2,0
5.4663,345.0,8,36,1.0001,18,18,152789.92,0
1.0176,339.6,12,22,1.001,11,11,178770.6,0
105.9429,4326000.0,12,21,1.0004,13,8,1019244.7,0
50.4998,9781.2,4,4,1.0,2,2,327.92,0
50.4998,9742.8,4,4,1.0,2,2,326.03,0
